346,27.32,2732,Производство на други електрически и електронни проводници и кабели,2732
347,27.33,2733,Производство на електроинсталационни изделия,2733
348,27.4,274,Производство на лампи и осветители,274
349,27.40,2740,Производство на лампи и осветители,2740
350,27.5,275,Производство на битови уреди,275
351,27.51,2751,Производство на битови електроуреди,2751
352,27.52,2752,Производство на неелектрически битови уреди,2752
353,27.9,279,Производство на други електрически съоръжения,279
354,27.90,2790,Производство на други електрически съоръжения,2790
355,28,28,Производство на машини и оборудване с общо и специално предназначение,28
356,28.1,281,Производство на машини с общо предназначение,281
357,28.11,2811,Производство на турбини и двигатели без авиационни автомобилни и мотоциклетни,2811
358,28.12,2812,Производство на хидравлични помпи хидравлични и пневматични двигатели,2812
359,28.13,2813,Производство на други помпи и компресори,2813
360,28.14,2814,Производство на арматурни изделия,2814
361,28.15,2815,Производство на лагери предавки и съединители,2815
362,28.2,282,Производство на други машини с общо предназначение,282
363,28.21,2821,Производство на пещи и горелки,2821
364,28.22,2822,Производство на подемно транспортни машини,2822
365,28.23,2823,Производство на офис техника без компютърната,2823
366,28.24,2824,Производство на преносими инструменти с вграден двигател,2824
367,28.25,2825,Производство на промишлено хладилно и вентилационно оборудване,2825
368,28.29,2829,Производство на други машини с общо предназначение некласифицирани другаде,2829
369,28.3,283,Производство на машини за селското и горското стопанство,283
370,28.30,2830,Производство на машини за селското и горското стопанство,2830
371,28.4,284,Производство на обработващи машини,284
372,28.41,2841,Производство на машини за обработка на метал,2841
373,28.49,2849,Производство на други обработващи машини,2849
374,28.9,289,Производство на други машини със специално предназначение,289
375,28.91,2891,Производство на машини и оборудване за металургията и леярството,2891
376,28.92,2892,Производство на машини за добива и строителството,2892
377,28.93,2893,Производство на машини и оборудване за преработка на храни напитки и тютюн,2893
378,28.94,2894,Производство на машини за текстил облекло кожи и кожени изделия,2894
379,28.95,2895,Производство на машини за  хартия картон и изделия от хартия и картон,2895
380,28.96,2896,Производство на машини за каучук или пластмаси,2896
381,28.99,2899,Производство на други машини със специално предназначение некласифицирани другаде,2899
382,29,29,Производство на автомобили ремаркета и полуремаркета,29
383,29.1,291,Производство на автомобили и техните двигатели,291
384,29.10,2910,Производство на автомобили и техните двигатели,2910
385,29.2,292,Производство на купета и каросерии за автомобили производство на ремаркета и полуремаркета,292
386,29.20,2920,Производство на купета и каросерии за автомобили производство на ремаркета и полуремаркета,2920
387,29.3,293,Производство на части и принадлежности за автомобили,293
388,29.31,2931,Производство на електронни и електрически части и устройства за автомобили,2931
389,29.32,2932,Производство на други части и принадлежности за автомобили,2932
390,30,30,Производство на превозни средства без автомобили,30
391,30.1,301,Строителство на плавателни съдове,301
392,30.11,3011,Строителство на плавателни съдове без тези за отдих,3011
393,30.12,3012,Строителство на плавателни съдове за отдих,3012
394,30.2,302,Производство на локомотиви мотриси и вагони,302
395,30.20,3020,Производство на локомотиви мотриси и вагони,3020
396,30.3,303,Производство на въздухоплавателни и космически средства и техните двигатели,303
397,30.30,3030,Производство на въздухоплавателни и космически средства и техните двигатели,3030
398,30.4,304,Производство на бойни бронирани транспортни машини,304
399,30.40,3040,Производство на бойни бронирани транспортни машини,3040
400,30.9,309,Производство на други превозни средства,309
401,30.91,3091,Производство на мотоциклети и техните двигатели,3091
402,30.92,3092,Производство на велосипеди и инвалидни колички,3092
403,30.99,3099,Производство на други превозни средства некласифицирани другаде,3099
404,31,31,Производство на мебели,31
405,31.0,310,Производство на мебели,310
406,31.01,3101,Производство на мебели за офиси и магазини,3101
407,31.02,3102,Производство на кухненски мебели,3102
408,31.03,3103,Производство на матраци и дюшеци,3103
409,31.09,3109,Производство на други мебели,3109
410,32,32,Производство некласифицирано другаде,32
411,32.1,321,Производство на бижута и подобни изделия,321
